商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,其他马，改良种用除外,600,千克,3,头,48000
1022900,其他家牛，改良种用除...,111000,千克,154,头,4120129
1029090,其他牛，改良种用除外,600125,千克,870,头,24935952
1039200,其他猪，重量≥50k...,12090339,千克,101196,头,242777836
1042090,其他山羊，改良种用除...,4940,千克,187,头,261712
1051190,其他鸡，改良种用除外...,12469,千克,261100,只,1068013
1061490,"其他家兔及野兔,改良...",966,千克,377,只,257122
1061910,其他改良种用哺乳动物,620,千克,62,只,250159
1061990,"未列名哺乳动物,改良...",5084,千克,12626,只,18943357
1062020,食用爬行动物,34871,千克,22732,只,2545335
1062090,未列名爬行动物,2528,千克,315227,只,1355797
1063990,未列名鸟,276,千克,558,只,39645
1064910,改良种用昆虫,9,千克,12000,只,1705
1064990,"其他昆虫,改良种用除...",2265,千克,3656000,只,139234
1069090,"其他活动物,改良种用...",23277,千克,2387013,只,685474
2012000,鲜或冷的带骨牛肉,1646,千克,0,—,80685
2013000,鲜或冷的去骨牛肉,9419,千克,0,—,1056266
2022000,冻带骨牛肉,5200,千克,0,—,321426
2023000,冻去骨牛肉,11752,千克,0,—,691643
2031200,鲜或冷的带骨猪前腿、...,421590,千克,0,—,11845840
2031900,其他鲜或冷的猪肉,145880,千克,0,—,4158416
2032190,其他冻整头及半头猪肉,76000,千克,0,—,1659110
2032200,冻带骨猪前腿、猪后腿...,2500,千克,0,—,102330
2032900,其他冻猪肉,1464444,千克,0,—,45070161
2042100,鲜或冷的整头及半头绵...,36,千克,0,—,4176
2044200,冻带骨绵羊肉,65726,千克,0,—,5437928
2044300,冻去骨绵羊肉,83348,千克,0,—,3061984
2050000,鲜、冷、冻的马、驴、...,24335,千克,0,—,3112195
2061000,鲜或冷的牛杂碎,97,千克,0,—,1786
2062200,冻牛肝,25000,千克,0,—,236989
2062900,其他冻牛杂碎,20380,千克,0,—,471409
2064100,冻猪肝,10000,千克,0,—,71858
2069000,其他冻杂碎（牛、猪杂...,205920,千克,0,—,3318255
2071100,整只鸡，鲜或冷的,5520810,千克,0,—,133691735
2071200,整只鸡，冻的,354036,千克,0,—,6185973
