商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,其他牛，改良种用除外,625440,千克,1002,头,28594075
1039120,其他猪，10kg≤重...,2148,千克,43,头,59179
1039200,其他猪，重量≥50k...,10978753,千克,95894,头,235785859
1051190,其他鸡，改良种用除外...,10657,千克,215600,只,873878
1061490,"其他家兔及野兔,改良...",768,千克,296,只,270539
1061910,其他改良种用哺乳动物,840,千克,84,只,603277
1061990,"未列名哺乳动物,改良...",4580,千克,9224,只,11169702
1062020,食用爬行动物,82593,千克,59632,只,5337368
1062090,未列名爬行动物,2011,千克,246707,只,1361339
1064190,"其他蜂,改良种用除外",0,千克,80,只,21
1064910,改良种用昆虫,16,千克,21100,只,3017
1064990,"其他昆虫,改良种用除...",2506,千克,4017230,只,213916
1069090,"其他活动物,改良种用...",61945,千克,216350,只,527301
2023000,冻去骨牛肉,1000,千克,0,—,99238
2031200,鲜或冷的带骨猪前腿、...,513561,千克,0,—,14495310
2031900,其他鲜或冷的猪肉,128050,千克,0,—,3470023
2032190,其他冻整头及半头猪肉,129000,千克,0,—,3054851
2032900,其他冻猪肉,1686394,千克,0,—,47570197
2044200,冻带骨绵羊肉,61500,千克,0,—,5184233
2044300,冻去骨绵羊肉,16827,千克,0,—,1315531
2050000,鲜、冷、冻的马、驴、...,17029,千克,0,—,2224776
2062200,冻牛肝,24000,千克,0,—,254289
2062900,其他冻牛杂碎,2000,千克,0,—,24702
2064100,冻猪肝,15000,千克,0,—,130373
2064900,其他冻猪杂碎,8000,千克,0,—,270810
2069000,其他冻杂碎（牛、猪杂...,50342,千克,0,—,919044
2071100,整只鸡，鲜或冷的,5508027,千克,0,—,143148524
2071200,整只鸡，冻的,781479,千克,0,—,11620577
2071311,鲜或冷的带骨鸡块,177475,千克,0,—,4797048
2071319,鲜或冷的其他鸡块,406,千克,0,—,10623
2071329,鲜或冷的其他鸡杂碎,14892,千克,0,—,400673
2071411,带骨的冻鸡块,2021310,千克,0,—,25335095
2071419,其他冻鸡块,12842200,千克,0,—,173412701
2071421,冻鸡翼（不包括翼尖）,267333,千克,0,—,5405720
2071422,冻鸡爪,16500,千克,0,—,147527
2071429,其他冻鸡杂碎,265576,千克,0,—,1593483
2074100,鲜或冷的整只鸭,1455898,千克,0,—,27444694
2074200,整只冻鸭,1042914,千克,0,—,13285863
2074400,鲜或冷的鸭块及杂碎,20280,千克,0,—,338383
2074500,冻的鸭块及杂碎,1796240,千克,0,—,20463406
2075100,鲜或冷的整只鹅,1367314,千克,0,—,56495596
2075200,整只冻鹅,1989,千克,0,—,86756
2075300,鲜或冷的鹅肥肝,1500,千克,0,—,614000
2075400,鲜或冷的鹅块及杂碎,42089,千克,0,—,1650508
2075500,冻的鹅块及杂碎,285,千克,0,—,28500
2081020,冻兔肉，不包括兔头,459495,千克,0,—,18052584
2089010,鲜、冷、冻的乳鸽肉及...,349306,千克,0,—,20820508
2089090,其他鲜、冷、冻的肉及...,27090,千克,0,—,1884220
2091000,未炼制或用其他方法提...,27000,千克,0,—,276446
2101200,干、熏、盐腌或盐渍猪...,4935,千克,0,—,225069
2101900,其他干、熏、盐腌或盐...,13037,千克,0,—,826914
2109300,干、熏、盐腌或盐渍的...,100,千克,0,—,128216
2109900,其他干、熏、盐腌或盐...,28877,千克,0,—,707899
3011100,淡水观赏鱼,34175,千克,0,—,2449784
3019210,鳗鱼苗,400,千克,0,—,1500480
3019290,其他活鳗鱼，鱼苗除外,1548363,千克,0,—,187947461
3019390,"其他活鲤科鱼, 鱼苗...",2082816,千克,0,—,52240434
3019911,鲈鱼苗,19,千克,0,—,9000
3019919,其他鱼苗,154711,千克,0,—,6583371
3019991,活罗非鱼,147906,千克,0,—,3320713
3019992,活鲀,21900,千克,0,—,2749134
3019993,其他活鲤科鱼,606600,千克,0,—,16049664
3019999,其他活鱼,4070032,千克,0,—,195588622
3022300,鲜或冷的鳎鱼,61847,千克,0,—,3845385
3022900,其他鲜或冷的比目鱼,15010,千克,0,—,1681124
3023900,其他鲜或冷的金枪鱼,2190,千克,0,—,50089
3024400,鲜或冷的鲭鱼,400,千克,0,—,14638
3024600,鲜或冷的军曹鱼,332334,千克,0,—,14655525
3024910,鲜、冷银鲳(鲳属),8488,千克,0,—,440921
3024990,鲜、冷印度鲭(羽鳃鲐...,23325,千克,0,—,534976
3027100,鲜或冷的罗非鱼,4729,千克,0,—,112031
3027300,鲜或冷的鲤科鱼,46711,千克,0,—,1600632
3027400,鲜或冷的鳗鱼,9022,千克,0,—,607771
3027900,鲜或冷的尼罗河鲈鱼及...,24,千克,0,—,740
3028910,鲜或冷的带鱼,49465,千克,0,—,2648025
3028920,鲜或冷的黄鱼,723495,千克,0,—,46049179
3028930,鲜或冷的鲳鱼(银鲳除...,198437,千克,0,—,9626032
3028990,其他鲜或冷的鱼,2310440,千克,0,—,69656053
3029900,其他鲜或冷的可食用鱼...,5008,千克,0,—,76344
3031200,其他冻大麻哈鱼,47960,千克,0,—,1628523
3031310,冻大西洋鲑鱼,12200,千克,0,—,850290
3032300,冻罗非鱼,11508279,千克,0,—,142449023
3032400,冻鲶鱼,319560,千克,0,—,6706579
3032500,冻鲤科鱼,11428,千克,0,—,317321
3032600,冻鳗鱼,198349,千克,0,—,12572402
3032900,冻尼罗河鲈鱼及黑鱼,23997,千克,0,—,809692
3033110,冻马舌鲽(格陵兰庸鲽...,220516,千克,0,—,11848901
3033900,其他冻比目鱼,963938,千克,0,—,18372739
3034100,冻长鳍金枪鱼,205500,千克,0,—,4046013
3034200,冻黄鳍金枪鱼,1276310,千克,0,—,46614066
3034300,冻鲣,835557,千克,0,—,15383370
3034400,冻大眼金枪鱼,336635,千克,0,—,12483790
3034900,其他冻金枪鱼,37500,千克,0,—,227862
3035100,冻鲱鱼,4292871,千克,0,—,18802378
3035300,冻的沙丁鱼、小沙丁鱼...,2288272,千克,0,—,17273438
3035400,冻鲭鱼,18779837,千克,0,—,250433006
3035500,冻的对称竹荚鱼、新西...,813504,千克,0,—,9129645
3035700,冻剑鱼,178591,千克,0,—,7433145
3035910,冻银鲳(鲳属),210984,千克,0,—,20077217
3035990,冻鳀鱼(鳀属）、冻印...,3303480,千克,0,—,64631249
3036600,冻狗鳕鱼,800,千克,0,—,29709
3036700,冻阿拉斯加狭鳕鱼,1321276,千克,0,—,9874264
3036800,冻蓝鳕鱼,17820,千克,0,—,318470
3038100,冻角鲨及其他鲨鱼,23000,千克,0,—,1561969
3038200,冻魟鱼及鳐鱼,22239,千克,0,—,556766
3038400,冻尖吻鲈鱼,58000,千克,0,—,2197194
3038910,冻带鱼,130486,千克,0,—,6543487
