商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,其他牛，改良种用除外,675485,千克,1014,头,4070502.0
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,3995,千克,80,头,15354.0
1039200,其他猪，重量≥50kg，改良种用除外,11071721,千克,93672,头,31576036.0
1051190,其他鸡，改良种用除外，重量≤185g,11373,千克,235400,只,134200.0
1061490,"其他家兔及野兔,改良种用除外",1063,千克,388,只,34037.0
1061990,"未列名哺乳动物,改良种用除外",3465,千克,6634,只,1687352.0
1062020,食用爬行动物,47259,千克,34037,只,469544.0
1062090,未列名爬行动物,773,千克,96960,只,76974.0
1064910,改良种用昆虫,12,千克,14200,只,284.0
1064990,"其他昆虫,改良种用除外",1351,千克,2174700,只,9332.0
1069090,"其他活动物,改良种用除外",48169,千克,2442403,只,188467.0
2013000,鲜或冷的去骨牛肉,2179,千克,0,?,34440.0
2023000,冻去骨牛肉,14513,千克,0,?,110499.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,437369,千克,0,?,1472673.0
2031900,其他鲜或冷的猪肉,140440,千克,0,?,500399.0
2032110,冻整头及半头乳猪肉,950,千克,0,?,6198.0
2032190,其他冻整头及半头猪肉,74000,千克,0,?,239990.0
2032200,冻带骨猪前腿、猪后腿及其肉块,4000,千克,0,?,20468.0
2032900,其他冻猪肉,1114847,千克,0,?,4693426.0
2044200,冻带骨绵羊肉,7320,千克,0,?,83437.0
2044300,冻去骨绵羊肉,8430,千克,0,?,84987.0
2050000,鲜、冷、冻的马、驴、骡肉,21959,千克,0,?,376603.0
2062900,其他冻牛杂碎,11803,千克,0,?,18219.0
2064100,冻猪肝,10000,千克,0,?,12409.0
2064900,其他冻猪杂碎,1500,千克,0,?,1535.0
2069000,其他冻杂碎（牛、猪杂碎除外）,53023,千克,0,?,144648.0
2071100,整只鸡，鲜或冷的,5621441,千克,0,?,20033804.0
2071200,整只鸡，冻的,175285,千克,0,?,498794.0
2071311,鲜或冷的带骨鸡块,188115,千克,0,?,686639.0
2071319,鲜或冷的其他鸡块,388,千克,0,?,1540.0
2071329,鲜或冷的其他鸡杂碎,18279,千克,0,?,67883.0
2071411,带骨的冻鸡块,1536591,千克,0,?,2510534.0
2071419,其他冻鸡块,10483119,千克,0,?,18256870.0
2071421,冻鸡翼（不包括翼尖）,208825,千克,0,?,619983.0
2071429,其他冻鸡杂碎,253011,千克,0,?,237065.0
2074100,鲜或冷的整只鸭,1334051,千克,0,?,3101977.0
2074200,整只冻鸭,1673671,千克,0,?,2263420.0
2074300,鲜或冷的鸭肥肝,48000,千克,0,?,20879.0
2074400,鲜或冷的鸭块及杂碎,17988,千克,0,?,38641.0
2074500,冻的鸭块及杂碎,1212916,千克,0,?,1715522.0
2075100,鲜或冷的整只鹅,1195269,千克,0,?,6948314.0
2075400,鲜或冷的鹅块及杂碎,35874,千克,0,?,196585.0
2075500,冻的鹅块及杂碎,1000,千克,0,?,8587.0
2081020,冻兔肉，不包括兔头,243940,千克,0,?,1159286.0
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,299078,千克,0,?,2605338.0
2089090,其他鲜、冷、冻的肉及食用杂碎,29999,千克,0,?,189541.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,4450,千克,0,?,45718.0
