商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1029090,其他牛，改良种用除外,658753,千克,1022,头,4150726.0
1039120,其他猪，10kg≤重量＜50kg，改良种用除外,749,千克,15,头,2866.0
1039200,其他猪，重量≥50kg，改良种用除外,11553429,千克,98816,头,33645108.0
1042090,其他山羊，改良种用除外,3700,千克,110,头,28073.0
1051110,改良种用鸡，改良种用除外，重量≤185g,644,千克,16510,只,86829.0
1051190,其他鸡，改良种用除外，重量≤185g,12468,千克,253300,只,140702.0
1061490,"其他家兔及野兔,改良种用除外",958,千克,359,只,34287.0
1061910,其他改良种用哺乳动物,780,千克,78,只,78991.0
1061990,"未列名哺乳动物,改良种用除外",6436,千克,9843,只,2049656.0
1062020,食用爬行动物,11653,千克,12161,只,123129.0
1062090,未列名爬行动物,2263,千克,264362,只,173855.0
1064910,改良种用昆虫,19,千克,24320,只,486.0
1064990,"其他昆虫,改良种用除外",2493,千克,3999050,只,24495.0
1069090,"其他活动物,改良种用除外",71322,千克,259530,只,118057.0
2022000,冻带骨牛肉,6064,千克,0,?,18192.0
2031200,鲜或冷的带骨猪前腿、猪后腿及其肉块,549370,千克,0,?,2281540.0
2031900,其他鲜或冷的猪肉,89646,千克,0,?,346144.0
2032110,冻整头及半头乳猪肉,25000,千克,0,?,153127.0
2032190,其他冻整头及半头猪肉,92500,千克,0,?,326991.0
2032200,冻带骨猪前腿、猪后腿及其肉块,3000,千克,0,?,18375.0
2032900,其他冻猪肉,1469330,千克,0,?,6206521.0
2043000,冻整头及半头羔羊肉,1080,千克,0,?,12962.0
2044200,冻带骨绵羊肉,71100,千克,0,?,827344.0
2044300,冻去骨绵羊肉,10258,千克,0,?,107127.0
2050000,鲜、冷、冻的马、驴、骡肉,17351,千克,0,?,302537.0
2062200,冻牛肝,25000,千克,0,?,39163.0
2062900,其他冻牛杂碎,26345,千克,0,?,131097.0
2064100,冻猪肝,15000,千克,0,?,18758.0
2069000,其他冻杂碎（牛、猪杂碎除外）,77528,千克,0,?,192977.0
2071100,整只鸡，鲜或冷的,5764484,千克,0,?,21543679.0
2071200,整只鸡，冻的,178038,千克,0,?,562236.0
2071311,鲜或冷的带骨鸡块,160664,千克,0,?,637005.0
2071319,鲜或冷的其他鸡块,335,千克,0,?,1433.0
2071329,鲜或冷的其他鸡杂碎,13178,千克,0,?,48406.0
2071411,带骨的冻鸡块,2262419,千克,0,?,4050117.0
2071419,其他冻鸡块,11299416,千克,0,?,22126652.0
2071421,冻鸡翼（不包括翼尖）,289194,千克,0,?,864759.0
2071422,冻鸡爪,22500,千克,0,?,49500.0
2071429,其他冻鸡杂碎,726364,千克,0,?,689437.0
2074100,鲜或冷的整只鸭,1413751,千克,0,?,3804774.0
2074200,整只冻鸭,1212520,千克,0,?,2219260.0
2074300,鲜或冷的鸭肥肝,74000,千克,0,?,34622.0
2074400,鲜或冷的鸭块及杂碎,18381,千克,0,?,43455.0
2074500,冻的鸭块及杂碎,831670,千克,0,?,1805289.0
2075100,鲜或冷的整只鹅,1494324,千克,0,?,8039245.0
2075200,整只冻鹅,975,千克,0,?,6470.0
2075300,鲜或冷的鹅肥肝,618,千克,0,?,52357.0
2075400,鲜或冷的鹅块及杂碎,38367,千克,0,?,187042.0
2075500,冻的鹅块及杂碎,1000,千克,0,?,8190.0
2081020,冻兔肉，不包括兔头,359008,千克,0,?,1855217.0
2089010,鲜、冷、冻的乳鸽肉及食用杂碎,394868,千克,0,?,3268077.0
2089090,其他鲜、冷、冻的肉及食用杂碎,16859,千克,0,?,162078.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,35000,千克,0,?,52950.0
2101200,干、熏、盐腌或盐渍猪腹肉（五花肉）,1275,千克,0,?,13016.0
2101900,其他干、熏、盐腌或盐渍猪肉,4957,千克,0,?,56044.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,23364,千克,0,?,97899.0
3011100,淡水观赏鱼,29661,千克,0,?,278451.0
3019290,其他活鳗鱼，鱼苗除外,1317030,千克,0,?,21846968.0
3019390,"其他活鲤科鱼, 鱼苗除外",2108628,千克,0,?,7447574.0
3019911,鲈鱼苗,23,千克,0,?,88.0
3019919,其他鱼苗,402728,千克,0,?,5329633.0
3019991,活罗非鱼,114910,千克,0,?,335987.0
3019992,活?,25300,千克,0,?,483530.0
3019993,其他活鲤科鱼,572113,千克,0,?,2114054.0
3019999,其他活鱼,4217656,千克,0,?,29525908.0
3022300,鲜或冷的鳎鱼,61397,千克,0,?,540248.0
3022900,其他鲜或冷的比目鱼,17240,千克,0,?,272643.0
3023900,其他鲜或冷的金枪鱼,2110,千克,0,?,6731.0
3024600,鲜或冷的军曹鱼,98966,千克,0,?,658607.0
3024910,鲜、冷银鲳(鲳属),6643,千克,0,?,47852.0
3024990,鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼(?属）、秋刀鱼、圆?(圆?属）、多春鱼(毛鳞鱼）、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,6681,千克,0,?,19878.0
3027100,鲜或冷的罗非鱼,4533,千克,0,?,14970.0
3027300,鲜或冷的鲤科鱼,46292,千克,0,?,214960.0
3027400,鲜或冷的鳗鱼,8098,千克,0,?,74901.0
3027900,鲜或冷的尼罗河鲈鱼及黑鱼,72,千克,0,?,282.0
3028910,鲜或冷的带鱼,36104,千克,0,?,255703.0
3028920,鲜或冷的黄鱼,741366,千克,0,?,6579093.0
3028930,鲜或冷的鲳鱼(银鲳除外),185471,千克,0,?,1270518.0
3028990,其他鲜或冷的鱼,1389421,千克,0,?,8049239.0
3029900,其他鲜或冷的可食用鱼杂碎,3841,千克,0,?,5455.0
3031200,其他冻大麻哈鱼,69030,千克,0,?,239938.0
3031310,冻大西洋鲑鱼,9325,千克,0,?,108307.0
3031400,冻鳟鱼,29523,千克,0,?,249808.0
3032300,冻罗非鱼,9834813,千克,0,?,18636652.0
3032400,冻鲶鱼,391378,千克,0,?,1096721.0
3032500,冻鲤科鱼,8904,千克,0,?,43566.0
3032600,冻鳗鱼,131876,千克,0,?,1290666.0
3033110,冻马舌鲽(格陵兰庸鲽鱼),266809,千克,0,?,2061819.0
3033200,冻鲽鱼,23,千克,0,?,119.0
3033900,其他冻比目鱼,1589985,千克,0,?,4121153.0
3034100,冻长鳍金枪鱼,786877,千克,0,?,2697407.0
3034200,冻黄鳍金枪鱼,905387,千克,0,?,3730132.0
3034300,冻鲣,394977,千克,0,?,1067915.0
3034400,冻大眼金枪鱼,288737,千克,0,?,1797587.0
3034900,其他冻金枪鱼,12000,千克,0,?,10200.0
3035100,冻鲱鱼,9772702,千克,0,?,5944538.0
3035300,冻的沙丁鱼、小沙丁鱼属、黍鲱或西鲱,1227806,千克,0,?,2058311.0
3035400,冻鲭鱼,22466513,千克,0,?,41842696.0
3035500,冻的对称竹荚鱼、新西兰竹荚鱼及竹荚鱼,175420,千克,0,?,336918.0
3035700,冻剑鱼,231914,千克,0,?,1460099.0
3035910,冻银鲳(鲳属),349543,千克,0,?,4764669.0
3035990,冻?鱼(?属）、冻印度鲭(羽鳃鲐属)、冻马鲛鱼(马鲛属)、冻?鱼(?属）、冻秋刀鱼、冻圆?(圆?属)、冻多春鱼(毛鳞鱼）、冻鲔鱼、冻狐鲣(狐鲣属）、冻枪鱼 、冻旗鱼、冻四鳍旗鱼(旗鱼科）,4042702,千克,0,?,9882479.0
3036300,冻鳕鱼,24100,千克,0,?,45477.0
3036700,冻阿拉斯加狭鳕鱼,152030,千克,0,?,360983.0
3036800,冻蓝鳕鱼,3,千克,0,?,3.0
3036900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,24265,千克,0,?,79264.0
3038200,冻?鱼及鳐鱼,24060,千克,0,?,139328.0
3038400,冻尖吻鲈鱼,73500,千克,0,?,418235.0
3038910,冻带鱼,118906,千克,0,?,987742.0
3038920,冻黄鱼,1123477,千克,0,?,9593014.0
3038930,冻鲳鱼(银鲳除外),459096,千克,0,?,3314185.0
3038990,未列名冻鱼,7633093,千克,0,?,33911372.0
3039100,冻的鱼肝、鱼卵及鱼精,22410,千克,0,?,44989.0
3039900,其他冻的可食用鱼杂碎,674606,千克,0,?,1283200.0
3043900,鲜或冷的鲤科鱼、鳗鱼及黑鱼鱼片,26550,千克,0,?,155088.0
3044900,其他鲜或冷的鱼片,19001,千克,0,?,213042.0
3045100,鲜或冷的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼鱼肉,394911,千克,0,?,1971113.0
3045900,其他鲜或冷的鱼肉,8210,千克,0,?,24151.0
3046100,冻罗非鱼鱼片,2733235,千克,0,?,8218519.0
3046211,冻斑点叉尾?鱼鱼片,81722,千克,0,?,523796.0
3046290,其他冻鲶鱼鱼片,22824,千克,0,?,133561.0
3046900,冻鲤科鱼、鳗鱼及黑鱼鱼片,113175,千克,0,?,1112912.0
3047100,冻鳕鱼鱼片,6132216,千克,0,?,48931683.0
3047200,冻黑线鳕鱼鱼片,1998757,千克,0,?,15149989.0
3047300,冻绿青鳕鱼鱼片,561842,千克,0,?,4574143.0
3047400,冻狗鳕鱼鱼片,311159,千克,0,?,1484964.0
3047500,冻阿拉斯加狭鳕鱼鱼片,14076011,千克,0,?,44665345.0
3047900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,742813,千克,0,?,3291612.0
3048100,冻的大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼鱼片,3982949,千克,0,?,33754534.0
3048200,冻鳟鱼鱼片,52821,千克,0,?,707137.0
3048300,冻比目鱼鱼片,4118649,千克,0,?,25039884.0
3048400,冻剑鱼鱼片,1000,千克,0,?,8254.0
3048600,冻鲱鱼鱼片,46200,千克,0,?,142208.0
3048700,冻金枪鱼（金枪鱼属）、鲣鱼片,1233018,千克,0,?,9587449.0
3048800,冻的角鲨、其他鲨鱼、?鱼及鳐鱼鱼片,97061,千克,0,?,783320.0
3048900,其他冻鱼片,7010590,千克,0,?,38868921.0
3049100,冻剑鱼鱼肉,16359,千克,0,?,110955.0
3049300,冻的罗非鱼、鲶鱼、鳗鱼尼罗河鲈鱼及黑鱼鱼肉,830,千克,0,?,6228.0
3049400,冻阿拉斯加狭鳕鱼鱼肉,879525,千克,0,?,2780055.0
3049500,冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼肉，阿拉斯加狭鳕鱼的除外,321706,千克,0,?,2853119.0
3049900,其他冻鱼肉,3141010,千克,0,?,19789382.0
3052000,干、熏、盐腌或盐渍的鱼肝、鱼卵及鱼精,346257,千克,0,?,3229276.0
3053200,干、盐腌或盐渍的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,988478,千克,0,?,5332475.0
3053900,其他干、盐腌或盐渍的鱼片,46239,千克,0,?,290564.0
3054110,熏大西洋鲑鱼,13216,千克,0,?,264601.0
3054120,熏大麻哈鱼及多瑙哲罗鱼,1212,千克,0,?,26724.0
3054200,熏鲱鱼,24510,千克,0,?,102942.0
3054300,熏鳟鱼,48024,千克,0,?,851362.0
3054900,其他熏鱼,215764,千克,0,?,1672578.0
3055100,干鳕鱼,41317,千克,0,?,507111.0
3055300,干的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,49040,千克,0,?,629055.0
3055490,干的鲱鱼(大西洋鲱鱼、太平洋鲱鱼）、?鱼(?属）、沙丁鱼(沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱、鲭鱼［大西洋鲭、澳洲鲭(鲐）、日本鲭(鲐）］、印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属）、?鱼(?属）、军曹鱼、秋刀鱼、圆?(圆?属)、多春鱼(毛鳞鱼）、剑鱼、鲔鱼、狐鲣(狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼(旗鱼科）,381421,千克,0,?,2206649.0
3055990,其他干鱼,1051777,千克,0,?,10940198.0
3056200,盐腌及盐渍的鳕鱼,203816,千克,0,?,1040134.0
