商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012100,改良种用马,23200,千克,58,头,748960.0
1012900,其他马，改良种用除外,34850,千克,163,头,1879754.0
1022100,改良种用家牛,2121325,千克,5900,头,16830000.0
1029090,其他牛，改良种用除外,2558,千克,12,头,52928.0
1041010,改良种用绵羊,57330,千克,1274,头,1465880.0
1051110,改良种用鸡，改良种用除外，重量≤185g,5516,千克,118335,只,1824813.0
1051310,"改良种用鸭,重量≤185克",276,千克,3539,只,39410.0
1051410,"改良种用鹅,重量≤185克",386,千克,2200,只,92206.0
1061190,其他灵长目动物，改良种用除外,25,千克,10,只,11535.0
1061211,改良种用鲸、海豚及鼠海豚；改良种用海牛及儒艮,990,千克,3,只,171150.0
1061221,改良种用海豹、海狮及海象,30,千克,1,只,50000.0
1061390,"其他骆驼及其他骆驼科动物,改良种用除外",31000,千克,946,只,2033900.0
1061910,其他改良种用哺乳动物,7000,千克,6,只,218570.0
1061990,"未列名哺乳动物,改良种用除外",826,千克,1917,只,195539.0
1062020,食用爬行动物,44429,千克,125764,只,166523.0
1062090,未列名爬行动物,14186,千克,297447,只,300666.0
1063290,其他鹦形目鸟，改良种用除外,412,千克,336,只,45420.0
1063910,其他改良种用鸟,262,千克,49,只,98425.0
1063990,未列名鸟,689,千克,2755,只,772059.0
1064190,"其他蜂,改良种用除外",488,千克,111300,只,38870.0
1064990,"其他昆虫,改良种用除外",3,千克,2176,只,390.0
1069090,"其他活动物,改良种用除外",201,千克,1648,只,13427.0
2012000,鲜、冷带骨牛肉,40007,千克,0,?,320953.0
2013000,鲜、冷去骨牛肉,589104,千克,0,?,4223835.0
2022000,冻带骨牛肉,8452360,千克,0,?,22639302.0
2023000,冻去骨牛肉,26153527,千克,0,?,141268323.0
2032200,冻带骨猪前腿、猪后腿及其肉块,18421021,千克,0,?,31324641.0
2032900,其他冻猪肉,35698132,千克,0,?,60060013.0
2043000,冻整头及半头羔羊肉,196318,千克,0,?,988931.0
2044100,冻整头及半头绵羊肉,1664441,千克,0,?,6128012.0
2044200,冻带骨绵羊肉,20579090,千克,0,?,72580315.0
2044300,冻去骨绵羊肉,335296,千克,0,?,1020584.0
2045000,山羊肉,20083,千克,0,?,72517.0
2062100,冻牛舌,137311,千克,0,?,619375.0
2062900,其他冻牛杂碎,1925894,千克,0,?,6031106.0
2064100,冻猪肝,22406,千克,0,?,9365.0
2064900,其他冻猪杂碎,59484010,千克,0,?,87209124.0
2069000,其他冻杂碎（牛、猪杂碎除外）,532441,千克,0,?,1262709.0
2071200,整只鸡，冻的,1381,千克,0,?,2187.0
2071411,带骨的冻鸡块,4543288,千克,0,?,6657743.0
2071421,冻鸡翼（不包括翼尖）,13879912,千克,0,?,40787578.0
2071422,冻鸡爪,7743409,千克,0,?,16267114.0
2071429,其他冻鸡杂碎,1585884,千克,0,?,2292611.0
2072700,火鸡块及杂碎，冻的,821981,千克,0,?,1668123.0
