商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012100,改良种用马,6388,千克,14,头,1502381.0
1012900,其他马，改良种用除外,300670,千克,1359,头,11124498.0
1022100,改良种用家牛,6840313,千克,22092,头,330883668.0
1031000,改良种用猪,71552,千克,832,头,10600652.0
1041010,改良种用绵羊,177460,千克,3313,头,32716755.0
1051110,改良种用鸡，改良种用除外，重量≤185g,6025,千克,133807,只,13291418.0
1061190,其他灵长目动物，改良种用除外,25,千克,10,只,73778.0
1061211,改良种用鲸、海豚及鼠海豚；改良种用海牛及儒艮,1920,千克,6,只,2814372.0
1061310,改良种用骆驼及其他骆驼科动物,37000,千克,616,只,8158955.0
1061910,其他改良种用哺乳动物,6920,千克,131,只,6034586.0
1061990,"未列名哺乳动物,改良种用除外",755,千克,2171,只,2080975.0
1062020,食用爬行动物,24040,千克,49191,只,845869.0
1062090,未列名爬行动物,65745,千克,204209,只,3598767.0
1063210,改良种用鹦形目鸟,245,千克,80,只,179634.0
1063290,其他鹦形目鸟，改良种用除外,15,千克,28,只,22031.0
1063910,其他改良种用鸟,819,千克,1000,只,674615.0
1063990,未列名鸟,2350,千克,5782,只,9968556.0
1064190,"其他蜂,改良种用除外",332,千克,59330,只,150671.0
1064910,改良种用昆虫,0,千克,680,只,837.0
1064990,"其他昆虫,改良种用除外",5,千克,5098,只,5034.0
1069090,"其他活动物,改良种用除外",70,千克,3299,只,912950.0
2012000,鲜、冷带骨牛肉,83177,千克,0,?,3890895.0
2013000,鲜、冷去骨牛肉,593614,千克,0,?,28721792.0
2022000,冻带骨牛肉,8006488,千克,0,?,156281533.0
2023000,冻去骨牛肉,41017040,千克,0,?,1439206703.0
2031900,其他鲜、冷猪肉,6690,千克,0,?,396260.0
2032200,冻带骨猪前腿、猪后腿及其肉块,24895368,千克,0,?,288696674.0
2032900,其他冻猪肉,49783446,千克,0,?,601570092.0
2043000,冻整头及半头羔羊肉,238148,千克,0,?,6380613.0
2044100,冻整头及半头绵羊肉,764379,千克,0,?,11934643.0
2044200,冻带骨绵羊肉,14601393,千克,0,?,258510379.0
2044300,冻去骨绵羊肉,198347,千克,0,?,2706618.0
2045000,山羊肉,101321,千克,0,?,2427401.0
2050000,鲜、冷、冻马、驴、骡肉,99800,千克,0,?,1007657.0
2062100,冻牛舌,81932,千克,0,?,2283179.0
2062200,冻牛肝,1243,千克,0,?,7950.0
2062900,其他冻牛杂碎,1679417,千克,0,?,34136561.0
2064100,冻猪肝,76849,千克,0,?,181167.0
2064900,其他冻猪杂碎,69499213,千克,0,?,773380546.0
2069000,其他冻杂碎（牛、猪杂碎除外）,235712,千克,0,?,3092046.0
2071200,整只鸡，冻的,5710,千克,0,?,57764.0
2071411,带骨的冻鸡块,8141297,千克,0,?,73571035.0
2071421,冻鸡翼（不包括翼尖）,15748770,千克,0,?,311816661.0
2071422,冻鸡爪,9788728,千克,0,?,138077531.0
2071429,其他冻鸡杂碎,2047282,千克,0,?,17383728.0
2072700,火鸡块及杂碎，冻的,800016,千克,0,?,13085225.0
2089090,其他鲜、冷、冻肉及食用杂碎,16654,千克,0,?,617546.0
2091000,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪，鲜、冷、冻、干、熏、盐腌或盐渍的,6508966,千克,0,?,31392540.0
2101900,其他干、熏、盐腌或盐渍猪肉,1175,千克,0,?,310345.0
2109900,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,500,千克,0,?,120161.0
3011100,淡水观赏鱼,11017,千克,0,?,3537791.0
3011900,其他观赏鱼,5049,千克,0,?,2008353.0
3019210,鳗鱼（鳗鲡属）苗,349,千克,0,?,224028.0
3019290,其他活鳗（鳗鲡属）鱼，鱼苗除外,12873,千克,0,?,908686.0
3019999,其他活鱼,771950,千克,0,?,21027181.0
3021300,鲜、冷大麻哈鱼,45786,千克,0,?,1315144.0
3021410,鲜、冷大西洋鲑鱼,3835888,千克,0,?,190340164.0
3023200,鲜、冷黄鳍金枪鱼,1516,千克,0,?,108908.0
3023300,鲜、冷鲣鱼或狐鲣,619,千克,0,?,55069.0
3023510,鲜、冷大西洋蓝鳍金枪鱼,259,千克,0,?,48762.0
3023520,鲜、冷太平洋蓝鳍金枪鱼,9731,千克,0,?,2161325.0
3023600,鲜、冷南方蓝鳍金枪鱼,91,千克,0,?,19672.0
3024300,鲜、冷沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,18,千克,0,?,1571.0
3024400,鲜、冷鲭鱼〔大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）〕,638,千克,0,?,68456.0
3024500,鲜、冷对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属),3430,千克,0,?,398978.0
3025100,鲜、冷鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,741,千克,0,?,45017.0
3027400,鲜、冷鳗鱼（鳗鲡属）,10,千克,0,?,225.0
3028100,鲜、冷角鲨及其他鲨鱼,16575,千克,0,?,127427.0
3028910,鲜、冷带鱼,628335,千克,0,?,4037996.0
3028930,鲜、冷鲳鱼,19090,千克,0,?,652640.0
3028990,其他鲜、冷鱼,400826,千克,0,?,5476625.0
3031100,冻红大麻哈鱼,1718723,千克,0,?,34574430.0
3031200,其他冻大麻哈鱼,48395022,千克,0,?,725066856.0
3031300,冻大西洋鲑鱼及多瑙哲罗鱼,1442387,千克,0,?,42139059.0
3031400,冻鳟鱼,197885,千克,0,?,6901320.0
3031900,其他冻鲑科鱼,106988,千克,0,?,2209319.0
3032400,冻鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）,276909,千克,0,?,2393404.0
3032500,冻鲤科鱼（西鲤、黑?、草鱼、鲢属、鲮属、青鱼）,28286,千克,0,?,219282.0
3032600,冻鳗鱼（鳗鲡属）,94944,千克,0,?,1326414.0
3033110,冻格陵兰庸鲽鱼,3482958,千克,0,?,91288537.0
3033190,其他冻庸鲽鱼,606188,千克,0,?,18992966.0
3033200,冻鲽鱼,267687,千克,0,?,3002555.0
3033300,冻鳎鱼,219373,千克,0,?,4904568.0
3033900,其他冻比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）,12194228,千克,0,?,102471316.0
3034100,冻长鳍金枪鱼,359891,千克,0,?,8976715.0
3034200,冻黄鳍金枪鱼,195899,千克,0,?,4112444.0
3034300,冻鲣鱼或狐鲣,1551000,千克,0,?,14854407.0
3034400,冻大眼金枪鱼,31194,千克,0,?,611911.0
3034600,冻南方蓝鳍金枪鱼,39022,千克,0,?,4118299.0
3035100,冻鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,6534491,千克,0,?,21836890.0
3035300,冻沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,408305,千克,0,?,2914332.0
3035400,冻鲭鱼〔大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）〕,709104,千克,0,?,5501343.0
3035500,冻对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属),1611587,千克,0,?,12123864.0
3035700,冻剑鱼,28000,千克,0,?,546244.0
3036300,冻鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,14546137,千克,0,?,262370249.0
3036400,冻黑线鳕鱼（黑线鳕）,2102741,千克,0,?,23539714.0
3036500,冻绿青鳕鱼,611853,千克,0,?,7385093.0
3036600,冻狗鳕鱼(无须鳕属、长鳍鳕属),2447085,千克,0,?,22506218.0
3036700,冻狭鳕鱼,28255628,千克,0,?,215389000.0
3036800,冻蓝鳕鱼（小鳍鳕、南蓝鳕）,3354578,千克,0,?,15100574.0
3036900,其他冻冻犀鳕科、冻多丝真鳕科、冻鳕科、冻长尾鳕科、冻黑鳕科、冻无须鳕科、冻深海鳕科及南极鳕科鱼,5959777,千克,0,?,67801762.0
3038100,冻角鲨及其他鲨鱼,251711,千克,0,?,3232061.0
3038200,冻?鱼及鳐鱼（鳐科）,72498,千克,0,?,390102.0
3038300,冻南极犬牙鱼（南极犬牙鱼属）,30884,千克,0,?,4273528.0
3038400,冻尖吻鲈鱼(舌齿鲈属),1560,千克,0,?,17087.0
3038910,冻带鱼,3858996,千克,0,?,47697901.0
3038930,冻鲳鱼,141744,千克,0,?,2613349.0
3038990,其他未列名冻鱼,20467808,千克,0,?,247827607.0
3039000,冻鱼肝及鱼卵,862114,千克,0,?,33889052.0
3044100,鲜或冷大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼的鱼片,1135,千克,0,?,89348.0
3044200,鲜或冷鳟鱼鱼片,92,千克,0,?,9769.0
3044900,其他鲜或冷的鱼片,441,千克,0,?,54458.0
3045900,其他鲜或冷的鱼肉,529,千克,0,?,181912.0
3046219,其他冻叉尾?鱼的鱼片,18700,千克,0,?,158710.0
3046290,其他冻鲶鱼的鱼片,1678676,千克,0,?,24507981.0
3046300,冻尼罗河鲈鱼（尼罗尖吻鲈）的鱼片,24000,千克,0,?,763278.0
3047100,冻鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼、格陵兰鳕鱼）鱼片,18457,千克,0,?,1136906.0
3047400,冻狗鳕鱼(无须鳕属、长鳍鳕属)鱼片,16443,千克,0,?,155873.0
3047500,冻狭鳕鱼鱼片,308270,千克,0,?,5114294.0
3047900,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼的鱼片,38228,千克,0,?,831349.0
3048100,冻大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼的鱼片,26800,千克,0,?,685683.0
3048300,冻比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）的鱼片,11208,千克,0,?,35845.0
3048700,冻金枪鱼(金枪鱼属)、鲣鱼或狐鲣(鲣)的鱼片,3273,千克,0,?,411098.0
3048900,其他冻鱼片,20480,千克,0,?,1471910.0
3049400,冻狭鳕鱼鱼肉,318010,千克,0,?,6574752.0
3049500,冻犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼，狭鳕鱼除外的鱼肉,50077,千克,0,?,594345.0
3049900,其他冻鱼肉,2602660,千克,0,?,37619868.0
3051000,适合供人食用的鱼的细粉、粗粉及团粒,2650,千克,0,?,431134.0
3052000,干、熏、盐腌或盐渍的鱼肝及鱼卵,35225,千克,0,?,2755382.0
3053200,干、盐腌或盐渍犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼的鱼片,2112,千克,0,?,67545.0
3053900,其他干、盐腌或盐渍的鱼片,102,千克,0,?,16359.0
3054110,熏大西洋鲑鱼（不包括食用杂碎）,1617,千克,0,?,183842.0
3054120,熏大麻哈鱼及多瑙哲罗鱼（不包括食用杂碎）,75,千克,0,?,17388.0
3054300,熏鳟鱼（不包括食用杂碎）,8940,千克,0,?,1200841.0
3054900,其他熏鱼（不包括食用杂碎）,10452,千克,0,?,576283.0
3055100,干鳕鱼(大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼)（不包括食用杂碎）,43788,千克,0,?,1942060.0
3055990,其他干鱼（不包括食用杂碎）,20070,千克,0,?,899728.0
3057200,鱼头、鱼尾、鱼鳔,875,千克,0,?,4491.0
3057900,其他鱼鳍及其他可食用杂碎,10968,千克,0,?,39837.0
3061100,冻的岩礁虾和其他龙虾（真龙虾属、龙虾属、岩龙虾属）,57191,千克,0,?,6307948.0
3061200,冻鳌龙虾(鳌龙虾属),221638,千克,0,?,15025603.0
3061490,其他冻蟹,2847933,千克,0,?,163346198.0
3061500,冻挪威海鳌虾,63381,千克,0,?,3512393.0
3061611,冻冷水小虾仁,1622,千克,0,?,94035.0
3061612,其他冻北方长额小虾,3341838,千克,0,?,110671501.0
3061619,其他冻冷水小虾,1051506,千克,0,?,43830743.0
3061629,其他冻冷水对虾,36552,千克,0,?,3606733.0
3061711,其他冻小虾仁,313394,千克,0,?,14657773.0
3061719,其他冻小虾,5020604,千克,0,?,218720130.0
3061721,其他冻对虾仁,127546,千克,0,?,7257420.0
3061729,其他冻对虾,4761394,千克,0,?,221524448.0
3061990,其他冻甲壳动物，包括适合供人食用的甲壳动物的细粉、粗粉及团粒,30056,千克,0,?,5408252.0
3062110,岩礁虾和其他龙虾（真龙虾属、龙虾属、岩龙虾属）种苗,168,千克,0,?,42728.0
3062190,"未冻的岩礁虾和其他龙虾（真龙虾属、龙虾属、岩龙虾属),种苗除外",679509,千克,0,?,211612753.0
3062290,未冻鳌龙虾（鳌龙虾属），种苗除外,906231,千克,0,?,111717462.0
3062410,蟹种苗,2,千克,0,?,47.0
3062492,未冻的梭子蟹,302888,千克,0,?,13508380.0
3062499,其他未冻的蟹,2425500,千克,0,?,174287369.0
3062690,其他未冻的冷水小虾及对虾，种苗除外,1482,千克,0,?,311679.0
3062710,其他小虾种苗及对虾种苗,1036,千克,0,?,5899399.0
3062790,其他未冻的小虾及对虾，种苗除外,354614,千克,0,?,28502353.0
3062990,未列名未冻的甲壳动物；适合供人食用的甲壳动物的细粉、粗粉及团粒,97723,千克,0,?,17630150.0
3071190,"活、鲜或冷的牡蛎(蚝), 种苗除外",188245,千克,0,?,13689066.0
3072190,活、鲜或冷的扇贝，种苗除外,25,千克,0,?,1908.0
3072900,冻、干、盐腌、盐渍或熏制的扇贝,1666710,千克,0,?,49297965.0
3073190,活、鲜或冷的贻贝，种苗除外,8163,千克,0,?,352754.0
3073900,冻、干、盐腌、盐渍或熏制的贻贝,202894,千克,0,?,7530565.0
3074190,活、鲜或冷的墨鱼及鱿鱼，种苗除外,1648,千克,0,?,39443.0
3074900,冻、干、盐腌、盐渍或熏制的墨鱼及鱿鱼,20993728,千克,0,?,212427049.0
3075900,冻、干、盐腌、盐渍或熏制的章鱼,275226,千克,0,?,5635622.0
3076010,蜗牛及螺种苗，海螺除外,12,千克,0,?,1190.0
3076090,活、鲜、冷、冻、干、盐腌、盐渍或熏制的蜗牛及螺（不包括海螺），种苗除外,17050,千克,0,?,244355.0
3077191,活、鲜或冷的蛤，种苗除外,178323,千克,0,?,15724925.0
3077199,活、鲜或冷的鸟蛤及舟贝，种苗除外,85142,千克,0,?,2329870.0
3077990,冻、干、盐腌、盐渍或熏制的鸟蛤及舟贝,221470,千克,0,?,11463634.0
3078190,活、鲜或冷的鲍鱼（鲍属），种苗除外,16588,千克,0,?,4771654.0
3078900,冻、干、盐腌、盐渍或熏制的鲍鱼（鲍属）,982,千克,0,?,316141.0
3079190,未列名活、鲜、冷的带壳或去壳的软体动物，种苗除外,305962,千克,0,?,36061383.0
3079900,未列名冻、干、盐腌、盐渍或熏制的带壳或去壳的软体动物；供人食用的软体动物细粉、粗粉及团粒,7875343,千克,0,?,96247447.0
3081900,冻、干、盐腌、盐渍或熏制的海参(仿刺参、海参纲),80081,千克,0,?,3500860.0
3082190,"活、鲜或冷的海胆, 种苗除外",4603,千克,0,?,775632.0
3083090,冻、干、盐腌、盐渍或熏制的海蜇,182000,千克,0,?,1506110.0
3089012,"活、鲜或冷的沙蚕, 种苗除外",12224,千克,0,?,97734.0
3089019,"未列名活、鲜或冷的不属于甲壳动物及软体动物的水生无脊椎动物, 种苗除外",896,千克,0,?,180025.0
3089090,其他冻、干、盐腌、盐渍或熏制的不属于甲壳动物及软体动物的水生无脊椎动物,24000,千克,0,?,769859.0
4011000,"未浓缩及未加糖或其他甜物质的乳及奶油, 含脂量不超过1%",4144596,千克,0,?,17547252.0
4012000,"未浓缩及未加糖或其他甜物质的乳及奶油, 含脂量超过1%,但不超过6%",36082591,千克,0,?,183914198.0
4014000,"未浓缩及未加糖或其他甜物质的乳及奶油, 含脂量超过6％，但不超过10％",6281,千克,0,?,88149.0
4015000,"未浓缩及未加糖或其他甜物质的乳及奶油, 含脂量超过10％",5685374,千克,0,?,98649210.0
4021000,粉状、粒状或其他固状乳及奶油，含脂量≤1.5％,18769093,千克,0,?,285960000.0
4022100,粉状、粒状或其他固状乳及奶油，含脂量＞1.5％，未加糖或其他甜物质,13161767,千克,0,?,231192760.0
4022900,粉状、粒状或其他固状乳及奶油，含脂量＞1.5％，加糖或其他甜物质,323183,千克,0,?,15849890.0
4029100,非固状乳及奶油，未加糖或其他甜物质,966591,千克,0,?,12520233.0
4029900,非固状乳及奶油，加糖或其他甜物质,133507,千克,0,?,1732050.0
4031000,酸乳,676238,千克,0,?,12545855.0
4039000,其他酪乳、结块的乳及奶油、酸乳酒及其他发酵或酸化的乳和奶油,522289,千克,0,?,6832936.0
4041000,乳清及改性乳清，不论是否浓缩、加糖或其他甜物质,37464303,千克,0,?,240828925.0
4049000,未列名含天然乳产品，不论是否加糖或其他甜物质,366136,千克,0,?,14051148.0
4051000,黄油,4717857,千克,0,?,111445486.0
4052000,乳酱,10,千克,0,?,152.0
4059000,其他从乳中提取的脂和油,1312400,千克,0,?,31443875.0
4061000,鲜乳酪包括乳清乳酪;凝乳,2441979,千克,0,?,64216245.0
4062000,各种磨碎或粉化的乳酪,1238808,千克,0,?,36488101.0
4063000,经过加工的乳酪（但磨碎或粉化的除外）,1049810,千克,0,?,34813737.0
4064000,蓝纹乳酪和娄地青霉生产的带纹理的其他乳酪,13918,千克,0,?,525635.0
4069000,未列名的乳酪,1195874,千克,0,?,36268392.0
4090000,天然蜂蜜,598115,千克,0,?,60150730.0
4100010,燕窝,2566,千克,0,?,29909254.0
4100043,蜂花粉,63,千克,0,?,21631.0
4100049,其他蜂产品,9225,千克,0,?,3801904.0
4100090,未列名食用动物产品,77809,千克,0,?,2003596.0
5029019,未列名制刷用兽毛,12650,千克,0,?,34805.0
5040011,盐渍猪肠衣（猪大肠头除外）,5931511,千克,0,?,69737670.0
5040012,盐渍绵羊肠衣,2124153,千克,0,?,23767434.0
5040013,盐渍山羊肠衣,18341,千克,0,?,94051.0
5040029,其他动物的胃,2288559,千克,0,?,57614664.0
5051000,填充用羽毛;羽绒,692046,千克,0,?,32356506.0
5059090,其他羽毛;带有羽毛或绒的鸟皮及鸟其他部分,201212,千克,0,?,3842488.0
5069090,其他未经加工或经脱脂、简单整理的骨及角柱,630638,千克,0,?,2560564.0
5071000,兽牙;兽牙粉末及废料,6494,千克,0,?,2788729.0
5079090,龟壳、鲸须、其他兽角、蹄、甲爪及喙;上述产品的粉末及废料,286538,千克,0,?,3381997.0
5080010,软体、甲壳或棘皮动物壳及墨鱼骨的粉末及废料,382263,千克,0,?,1547303.0
5080090,珊瑚及类似品;软体、甲壳或棘皮动物壳，墨鱼骨,2840798,千克,0,?,7009609.0
5100090,未列名配药用腺体及其他动物产品,62607,千克,0,?,1631267.0
5111000,牛的精液,506,千克,0,?,22374401.0
5119111,受精鱼卵,50,千克,0,?,284851.0
5119119,其他鱼产品,216700,千克,0,?,1333457.0
5119190,未列名甲壳动物、软体动物及其他水生无脊椎动物的产品;第3章的死动物,314558,千克,0,?,5598191.0
5119910,动物精液（牛的精液除外）,3,千克,0,?,794221.0
5119920,动物胚胎,5,千克,0,?,3401597.0
5119940,马毛及废马毛，不论是否制成有或无衬垫的毛片,229884,千克,0,?,1444912.0
5119990,其他品目未列名动物产品;不适合供人食用的第1章的死动物,199568,千克,0,?,2760507.0
6011010,番红花球茎,146000,个,2830,千克,77557.0
6011021,种用百合球茎,50684625,个,5720407,千克,94598959.0
6011091,种用休眠的鳞茎、块茎、块根、球茎、根颈及根茎,40161342,个,2284085,千克,39625391.0
6011099,未列名休眠的鳞茎、块茎、块根、球茎、根颈及根茎,21900,个,310,千克,27850.0
6021000,无根插枝及接穗植物,2750400,株,444133,千克,2652732.0
6022010,食用水果或坚果种用苗木,140,株,2,千克,4363.0
6023090,其他杜鹃，不论是否嫁接,440,株,8800,千克,47109.0
6024010,种用玫瑰,477,株,72,千克,28531.0
6029010,蘑菇菌丝,108154,千克,0,?,1508904.0
6029091,其他种用苗木,3482296,株,19404,千克,7655818.0
6029092,兰花，种用除外,215719,株,37828,千克,352583.0
6029093,菊花，种用除外,50,株,1,千克,2373.0
6029099,未列名活植物,208965,株,522283,千克,3291428.0
6031100,鲜的制花束或装饰用的玫瑰插花及花蕾,21994,千克,303572,枝,1650709.0
6031200,鲜的制花束或装饰用的康乃馨插花及花蕾,393,千克,4840,枝,21704.0
6031300,鲜的制花束或装饰用的兰花插花及花蕾,660722,千克,30557695,枝,9177882.0
6031400,鲜的制花束或装饰用的菊花插花及花蕾,32276,千克,494834,枝,752591.0
6031500,鲜的制花束或装饰用的百合花(百合属)插花及花蕾,481,千克,5035,枝,33489.0
6031900,其他鲜的制花束或装饰用的插花及花蕾,54740,千克,732802,枝,3941648.0
6039000,制花束或装饰用的插花及花蕾（鲜的除外）,7634,千克,188907,枝,1561707.0
6042010,鲜的苔藓及地衣,1180,千克,0,?,40740.0
6042090,鲜的制花束或装饰用的不带花及花蕾的植物枝、叶或其他部分、草,16269,千克,0,?,954305.0
6049010,其他苔藓及地衣,198556,千克,0,?,325288.0
6049090,未列名制花束或装饰用的不带花及花蕾的植物枝、叶或其他部分、草,126177,千克,0,?,677611.0
7095910,鲜或冷藏的松茸,67562,千克,0,?,8866056.0
7102100,冷冻豌豆,555605,千克,0,?,3818110.0
7102290,冷冻豇豆及其他菜豆,23247,千克,0,?,128717.0
7102900,其他冷冻豆类蔬菜,210,千克,0,?,4125.0
7103000,冷冻菠菜,5271,千克,0,?,35665.0
7104000,冷冻甜玉米,895914,千克,0,?,7751173.0
7108090,冷冻未列名蔬菜,30191,千克,0,?,203344.0
7109000,冷冻什锦蔬菜,1342,千克,0,?,25672.0
7114000,暂时保藏的黄瓜及小黄瓜,112600,千克,0,?,365838.0
7119039,盐水的其他蔬菜及什锦蔬菜,206480,千克,0,?,1249940.0
7122000,干洋葱,31082,千克,0,?,550678.0
7123100,干伞菌属蘑菇,312,千克,0,?,237630.0
7123200,干木耳,6,千克,0,?,1682.0
7123990,未列名干蘑菇及块菌,6450,千克,0,?,638341.0
7129040,蕨菜干,7800,千克,0,?,244467.0
7129050,干大蒜,100,千克,0,?,7606.0
7129099,未列名干蔬菜及什锦蔬菜,23028,千克,0,?,875865.0
7131010,种用豌豆,46548,千克,0,?,512871.0
7131090,其他干豌豆,21561122,千克,0,?,54488264.0
7133190,其他干绿豆,2235950,千克,0,?,15095187.0
7133390,其他干芸豆,525090,千克,0,?,2102671.0
7133500,干牛豆(豇豆),239816,千克,0,?,844536.0
7133900,未列名豇豆属及菜豆属的干豆,479632,千克,0,?,1653046.0
7139090,其他脱荚干豆，种用除外,1463889,千克,0,?,12133189.0
7141020,木薯干,311201285,千克,0,?,460528230.0
7142030,冷或冻甘薯,4838,千克,0,?,91851.0
7144000,芋头(芋属),20850,千克,0,?,280902.0
7149090,鲜、冷、冻或干的竹芋、兰科植物块茎、菊芋及未列名含有高淀粉或菊粉的根茎;西谷茎髓,60,千克,0,?,3424.0
8011100,椰子干,421972,千克,0,?,5375143.0
8011200,未去内壳（内果皮）的椰子,26603106,千克,0,?,60759024.0
8011990,其他椰子,4188129,千克,0,?,27852947.0
8012100,未去壳巴西果,288,千克,0,?,11329.0
8013100,未去壳腰果,91399,千克,0,?,806417.0
8013200,去壳腰果,379174,千克,0,?,17553313.0
8021100,未去壳扁桃仁,20412,千克,0,?,1138487.0
8021200,去壳扁桃仁,510336,千克,0,?,29490096.0
8022200,榛子仁,139208,千克,0,?,10866875.0
8023100,未去壳核桃,21,千克,0,?,3331.0
8023200,核桃仁,15536,千克,0,?,580471.0
8024110,未去壳板栗,2883735,千克,0,?,28122768.0
8025100,未去壳阿月浑子果(开心果),285756,千克,0,?,8533337.0
8025200,去壳阿月浑子果(开心果),25298,千克,0,?,1267326.0
8026190,其他未去壳马卡达姆坚果(夏威夷果),2765111,千克,0,?,78724947.0
8026200,去壳马卡达姆坚果(夏威夷果),228234,千克,0,?,9268329.0
8028000,槟榔果,46171,千克,0,?,522087.0
8029030,松子仁,66920,千克,0,?,6515147.0
8029090,未列名鲜或干坚果,1208248,千克,0,?,44464702.0
8039000,其他鲜或干的香蕉，芭蕉除外,56802047,千克,0,?,263354265.0
8041000,鲜或干的椰枣,241125,千克,0,?,648030.0
8042000,鲜或干的无花果,3057,千克,0,?,204598.0
8043000,鲜或干的菠萝,5853392,千克,0,?,38114996.0
8044000,鲜或干的鳄梨,1343249,千克,0,?,24741388.0
8045010,鲜或干的番石榴,73880,千克,0,?,748888.0
8045020,鲜或干的芒果,190680,千克,0,?,5550774.0
8045030,鲜或干的山竹果,3534630,千克,0,?,45035492.0
8051000,鲜或干的橙,36121280,千克,0,?,252182879.0
8052010,鲜或干蕉柑,347430,千克,0,?,3652226.0
8052020,阔叶柑橘,12600,千克,0,?,130150.0
8052090,其他鲜或干的柑桔及杂交柑桔,4342817,千克,0,?,50256459.0
8054000,葡萄柚，包括柚,4689547,千克,0,?,39392764.0
8055000,柠檬及酸橙,1232892,千克,0,?,18322906.0
8059000,未列名柑桔属水果,11,千克,0,?,650.0
8061000,鲜葡萄,4999929,千克,0,?,90294953.0
8062000,葡萄干,3167424,千克,0,?,31180567.0
8071910,鲜哈密瓜,36,千克,0,?,398.0
8072000,鲜木瓜,31188,千克,0,?,264891.0
8081000,鲜苹果,5616062,千克,0,?,54550834.0
8083090,其他鲜梨,342792,千克,0,?,4507898.0
8092900,其他鲜樱桃,643974,千克,0,?,32208938.0
8094000,鲜梅及李,1903087,千克,0,?,39853048.0
8104000,鲜蔓越橘及越橘,168787,千克,0,?,1413080.0
8105000,鲜猕猴桃,11558665,千克,0,?,222819649.0
8106000,鲜榴莲,33882552,千克,0,?,375963426.0
8107000,鲜柿子,406,千克,0,?,6963.0
8109030,鲜龙眼,15936826,千克,0,?,84212851.0
8109040,鲜红毛丹,427271,千克,0,?,3691008.0
8109050,鲜番荔枝,276109,千克,0,?,6046050.0
8109060,鲜杨桃,40808,千克,0,?,265445.0
8109070,鲜莲雾,98323,千克,0,?,1385184.0
8109080,鲜火龙果,79967784,千克,0,?,413117916.0
8109090,未列名鲜果,462885,千克,0,?,3497035.0
8111000,冷冻草莓,278573,千克,0,?,2773176.0
8112000,冷冻木莓、黑莓、桑椹、罗甘莓、穗醋栗（加仑子）及醋栗,3526,千克,0,?,192162.0
8119090,其他未列名冷冻水果及坚果,4211225,千克,0,?,128421184.0
8121000,暂时保藏的樱桃,111800,千克,0,?,1894463.0
8129000,其他暂时保藏的水果及坚果,38599,千克,0,?,186687.0
8131000,杏干,19570,千克,0,?,115138.0
8132000,梅干及李干,325090,千克,0,?,4169922.0
8133000,苹果干,4284,千克,0,?,52630.0
8134010,龙眼干、肉,5768058,千克,0,?,62440969.0
8134030,红枣,128,千克,0,?,8310.0
8134090,未列名干果,100302,千克,0,?,5860858.0
8135000,本章的什锦坚果或干果,7126,千克,0,?,1052054.0
8140000,柑桔属水果或甜瓜（包括西瓜）的果皮，鲜、冻、干或用盐水、亚硫酸水或其他防腐液暂时保藏的,5728,千克,0,?,121766.0
9011100,未焙炒未浸除咖啡碱的咖啡,6166952,千克,0,?,94189206.0
9011200,未焙炒已浸除咖啡碱的咖啡,12120,千克,0,?,308511.0
9012100,已焙炒未浸除咖啡碱的咖啡,863507,千克,0,?,58952764.0
9012200,已焙炒已浸除咖啡碱的咖啡,121940,千克,0,?,6820175.0
9019020,含咖啡的咖啡代用品,471,千克,0,?,19401.0
9021010,花茶，内包装每件净重≤3kg,17387,千克,0,?,1977752.0
9021090,绿茶，内包装每件净重≤3kg,23579,千克,0,?,2906861.0
9022090,绿茶，内包装每件净重＞3kg,101940,千克,0,?,1897148.0
9023010,乌龙茶，内包装每件净重≤3kg,55526,千克,0,?,6518964.0
